word,label,confidence,reason,frequency
कुड़रमा,incorrect spelling,low,"not in dictionary, moderate frequency — uncertain",7
अनुभव,incorrect spelling,low,"not in dictionary, moderate frequency — uncertain",1
उड़न्टा,incorrect spelling,low,"not in dictionary, moderate frequency — uncertain",1
जंगली,incorrect spelling,low,"not in dictionary, moderate frequency — uncertain",5
मेको,incorrect spelling,low,"not in dictionary, moderate frequency — uncertain",1
वगेरा,incorrect spelling,low,"not in dictionary, moderate frequency — uncertain",1
लुढ़क,incorrect spelling,low,"not in dictionary, moderate frequency — uncertain",2
सायद,incorrect spelling,low,"not in dictionary, moderate frequency — uncertain",1
जंगन,incorrect spelling,low,"not in dictionary, moderate frequency — uncertain",1
बारी,incorrect spelling,low,"not in dictionary, moderate frequency — uncertain",1
